Стенка,board,,[0132_LightGray],700.00mm,2550.00mm,16.00mm,,
Вн стенка,board,,[0132_LightGray],600.00mm,1700.00mm,16.00mm,1 of 2,
Полка 2,board,,[0132_LightGray],600.00mm,721.00mm,16.00mm,,
Стойка,board,,[0132_LightGray],126.00mm,2550.00mm,16.00mm,,
Полка 4,board,,[0132_LightGray],371.00mm,600.00mm,16.00mm,,
з стенка 4,board,,[0132_LightGray],290.00mm,721.00mm,16.00mm,,
Об б стенка,board,,[0132_LightGray],195.00mm,884.00mm,16.00mm,1 of 2,
з стенка 3,board,,[0132_LightGray],284.00mm,290.00mm,16.00mm,,
Об нижн фасад,board,,[0132_LightGray],86.00mm,388.00mm,16.00mm,,
Об ящ з стенка,board,,[0132_LightGray],70.00mm,330.00mm,16.00mm,,
Полка 6,board,,[0132_LightGray],111.00mm,200.00mm,16.00mm,,
Об ящ б.стенка,board,,[0132_LightGray],70.00mm,181.00mm,16.00mm,1 of 2,
Об ящ б.стенка,board,,[0132_LightGray],70.00mm,181.00mm,16.00mm,2 of 2,
Вн стенка,board,,[0132_LightGray],600.00mm,1700.00mm,16.00mm,2 of 2,
Полка,board,,[0132_LightGray],600.00mm,1624.00mm,16.00mm,1 of 3,
Полка,board,,[0132_LightGray],600.00mm,1624.00mm,16.00mm,2 of 3,
Полка2,board,,[0132_LightGray],600.00mm,721.00mm,16.00mm,,
Стенка 2,board,,[0132_LightGray],500.00mm,600.00mm,16.00mm,,
Полка 1,board,,[0132_LightGray],284.00mm,600.00mm,16.00mm,,
Вн перегородка,board,,[0132_LightGray],265.00mm,600.00mm,16.00mm,1 of 2,
Ящик бок стенка,board,,[0132_LightGray],143.00mm,563.00mm,16.00mm,1 of 4,
з стенка 1,board,,[0132_LightGray],255.00mm,290.00mm,16.00mm,,
з стенка 2,board,,[0132_LightGray],200.00mm,290.00mm,16.00mm,,
Полка 5,board,,[0132_LightGray],111.00mm,284.00mm,16.00mm,,
Полка,board,,[0132_LightGray],600.00mm,1624.00mm,16.00mm,3 of 3,
Вн стойка,board,,[0132_LightGray],84.00mm,2550.00mm,16.00mm,,
Об б стенка,board,,[0132_LightGray],195.00mm,884.00mm,16.00mm,2 of 2,
Вн перегородка,board,,[0132_LightGray],265.00mm,600.00mm,16.00mm,2 of 2,
Перекладина,board,,[0132_LightGray],100.00mm,1508.00mm,16.00mm,,
Стенка 3,board,,[0132_LightGray],290.00mm,505.00mm,16.00mm,,
Ящик Фасад,board,,[0132_LightGray],183.00mm,715.00mm,16.00mm,1 of 2,
Ящик Фасад,board,,[0132_LightGray],183.00mm,715.00mm,16.00mm,2 of 2,
Полка 3,board,,[0132_LightGray],216.00mm,600.00mm,16.00mm,,
Об фасад,board,,[0132_LightGray],300.00mm,382.00mm,16.00mm,1 of 2,
Об фасад,board,,[0132_LightGray],300.00mm,382.00mm,16.00mm,2 of 2,
Ящик стенка,board,,[0132_LightGray],143.00mm,663.00mm,16.00mm,1 of 4,
Ящик стенка,board,,[0132_LightGray],143.00mm,663.00mm,16.00mm,2 of 4,
Ящик стенка,board,,[0132_LightGray],143.00mm,663.00mm,16.00mm,3 of 4,
Ящик стенка,board,,[0132_LightGray],143.00mm,663.00mm,16.00mm,4 of 4,
Об крышка,board,,[0132_LightGray],195.00mm,420.00mm,16.00mm,,
Ящик бок стенка,board,,[0132_LightGray],143.00mm,563.00mm,16.00mm,2 of 4,
Ящик бок стенка,board,,[0132_LightGray],143.00mm,563.00mm,16.00mm,3 of 4,
Ящик бок стенка,board,,[0132_LightGray],143.00mm,563.00mm,16.00mm,4 of 4,
Об полка,board,,[0132_LightGray],179.00mm,388.00mm,16.00mm,,
Об ящ фасад,board,,[0132_LightGray],100.00mm,382.00mm,16.00mm,,
Group#513,board,,[0132_LightGray],563.00mm,695.00mm,2.26mm,1 of 2,
Group#513,board,,[0132_LightGray],563.00mm,695.00mm,2.26mm,2 of 2,
